MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
solve		yes	verb	to find the value of the variable that makes an equation true	4th math hm	solve	solv	verb	3	4	2	n/a	44	78.3148	0		cognate	resolver	1	"K.CC, K.OA ,1.OA ,2.OA ,2.MD ,3.OA ,3.MD ,4.OA ,4.NBT ,4.NF ,4.MD ,5.NF ,5.MD ,5.G ,6.R ,6.NS ,6.EE ,6.G ,7.R ,7.NS ,7.EE ,7.G ,8.EE ,8.G ,8.S ,HS.N-Q ,HS.N-CN ,HS.N-VM ,HS.A-SSE ,HS.A-AR ,HS.A-REI ,HS.F-BF ,HS.F-LE ,HS.F-TF ,HS.G-SRT ,HS.G-GE ,HS.G-GMD ,HS.S-ID ,HS.S-C ,HS.S-MD ,8A.A ,8A.G ,8A.S "	"Grade 5 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	"Math:4.OA Use the four operations with whole numbers to solve problems (1), 4.OA Use the four operations with whole numbers to solve problems (2), 4.OA Use the four operations with whole numbers to solve problems (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2),4.MD Represent and interpret data (4), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"		"ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (7),; Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (6),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7),5.MD - Represent and interpret data (2), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (5),5.G - Classify two-dimensional figures into categories based on their properties (5)"			4	math	1	2
souvenir		no	noun	"something that is kept as a reminder of a place you have visited, and event you have been to, etc."	MW online	souvenir	souvenir	noun	2	5	1	concrete	0.7513	1.3258	0		notcognate		0								5	math	1	1
souvenirs		no	noun	"something that is kept as a reminder of a place you have visited, and event you have been to, etc.  (plural)"	MW online	souvenir	souvenir	noun	2	4	1	concrete	0.5745	1.3258	0		notcognate		0								4	math	1	1
space	area	no	noun	"the amount of area, room, surface, etc., that is empty or available for use"	MW online	space	space	noun & verb	8 & 1	4	1	abstract	236	264.1092	0		cognate	espacio	1	"7.G ,7.S ,HS.S-C ,HS.S-MD "	NOT PRESENT						4	math	1	1
spacecraft		no	noun	a vehicle that is used for travel in outer space	MW online	spacecraft	spacecraft	noun	1	5	1	concrete	12	12.0195	0		cognate	nave espacial	0								5	math	1	1
span	 noun length of time	no	noun	a period of time between two dates or events	MW online	span	span	noun & verb	6 & 1	4	1	abstract	10	79.2343	0		notcognate		1	1.MD 	NOT PRESENT						4	math	1	1
spans	noun as in arm spans	no	noun	the width of something from one side to the other (often measured in arm lengths  (plural)	MW online	span	span	noun & verb	6 & 1	4	1	abstract	2	79.2343	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
specified		no	verb	to name or motion (someone or something) exactly and clearly: to be specific about (something)	MW online	specify	specifi	adjective	1	4 & 5	3	n/a	10	127.381	1	specify	cognate	especificado	1	"2.G ,4.MD ,4.G ,6.EE ,HS.F-IF ,HS.F-TF ,HS.S-IC "	NOT PRESENT	"Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (6),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math	1	3
sphere		yes	noun	A three-dimensional figure that is shaped like a round ball. Every point on the surface is the same distance from the center of the sphere.	4th math hm	sphere	sphere	noun	7	4 & 5	3	abstract	10	12	2		cognate	esfera	1	HS.G-GMD 	NOT PRESENT						4 & 5	math	1	3
sponsor		no	noun	"a person or organization that pays the cost of an activity or event (such as a radio or television program, sports event, concert, etc.) in return for the right to advertise during the activity or event"	MW online	sponsor	sponsor	noun & verb	2 & 3	5	1	concrete	2	6.8068	0		notcognate		0								5	math	1	1
sponsors		no	noun	"a person or organization that pays the cost of an activity or event (such as a radio or television program, sports event, concert, etc.) in return for the right to advertise during the activity or event (plural)"	MW online	sponsor	sponsor	noun & verb	2 & 3	4	1	concrete	1	6.8068	0		notcognate		0								4	math	1	1
square	adjective--shaped like a square as in square miles	yes	adjective	shaped like a square: having four straight sides that are the same length and have four right angles at each corner	MW online	square	squar	noun & verb & adjective & adverb	8 & 8 & 6 & 3	4 & 5	4	abstract	77	88.4664	0		cognate	cuadrado	1	"3.MD ,4.G ,6.NS ,7.EE ,8.EE ,HS.N-VM ,HS.A-SSE ,HS.A-REI ,HS.F-IF ,HS.G-GE"	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math & science	2	6
square	noun--a quadrilateral	yes	noun	a polygon with four right angles and four congruent sides	4th math hm	square	squar	noun & verb & adjective & adverb	8 & 8 & 6 & 3	4 & 5	2	abstract	77	88.4664	0		cognate	cuadrado	1	"3.MD ,4.G ,6.NS ,7.EE ,8.EE "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math & science	2	4
square	number taken times itself	yes	noun	the product of two factors that are the same	4th math hm	square	squar	noun & verb & adjective & adverb	8 & 8 & 6 & 3	4	1	abstract	77	88.4664	0		cognate	cuadrado	1	"3.MD ,4.G ,6.NS ,7.EE ,8.EE ,HS.N-VM ,HS.A-SSE ,HS.A-REI ,HS.F-IF ,HS.G-CO ,HS.G-GE ,8A.A ,8A.F "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math & science	2	3
squared		yes	adjective	describing a number to the second power	5th math psf	square	squar	adjective	1	5	1	n/a	1	88.4664	0		cognate	cuadrado	1	NOT PRESENT	NOT PRESENT						5	math	1	1
stack		no	noun	an orderly pile or heap	MW online	stack	stack	noun & verb	5 & 3	4	1	abstract	8	17.925	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
stacked		no	verb	to arrange (things) in a stack: to put (things) in a usually neat pile	MW online	stack	stack	adjective	2	5	1	n/a	5	17.925	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
stadium		no	noun	"a very large usually roofless building that has a large open area surrounded by many rows of seats and that is used for sports events, concerts, etc."	MW online	stadium	stadium	noun	1	4 & 5	4	concrete	6	6.6663	0		cognate	estadio	0								4 & 5	math	1	4
standard	adjective--normal or uniform	yes	adjective	pertaining to a way of writing a number using only digits. Fifty-two written in standard form is 52.	4th math hm	standard	standard	noun & adjective	6 & 5	4	2	abstract	60	105.5878	0		cognate	estándar	1	"K.CC,2.MD ,3.MD ,4.NBT ,5.NBT ,5.MD ,6.NS ,6.G ,7.NS ,7.EE ,7.G ,HS.A-SSE ,HS.A-AR ,HS.A-REI ,HS.F-IF ,HS.F-LE ,HS.F-TF ,HS.G-CO ,HS.G-SRT ,HS.G-GE ,HS.G-GMD ,HS.S-ID ,8A.NQ ,8A.A ,8A.F ,8A.G ,8A.S ,8A.CVA END"	"Kindergarten Language Standards,Grade 3 Language Standards,Grade 4 Language Standards,Grade 5 Language Standards,Grade 6 Language Standards,Grade 7 Writing Standards,Grade 7 Language Standards,Grade 8 Writing Standards,Grade 8 Language Standards,Grades 9-10 Language Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (4); ELA:Grade 4 Language Standards - Conventions of Standard English (1),Grade 4 Language Standards - Conventions of Standard English (2)"		"ELA: Grade 5 Language Standards - Conventions of Standard English (1),Grade 5 Language Standards - Conventions of Standard English (2),; Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (5),5.MD - Convert like measurement units within a given measurement system (1)"			4	math	1	2
standards	as in the California standards	no	noun	"a level of quality, achievement, etc., that is considered acceptable or desirable  (plural)"	MW online	standard	standard	noun & adjective	6 & 5	4	1	abstract	39	105.5878	0		cognate	estándares	1	NOT PRESENT	"Kindergarten Reading Standards for Literature,Kindergarten Reading Standards for Informational Text,Kindergarten Reading Standards: Foundational Skills,Kindergarten Writing Standards,Kindergarten Speaking and Listening Standards,Kindergarten Language Standards,Grade 1 Reading Standards for Literature,Grade 1 Reading Standards for Informational Text,Grade 1 Reading Standards: Foundational Skills,Grade 1 Writing Standards,Grade 1 Speaking and Listening Standards,Grade 1 Language Standards,Grade 2 Reading Standards for Literature,Grade 2 Reading Standards for Informational Text,Grade 2 Reading Standards: Foundational Skills,Grade 2 Writing Standards,Grade 2 Speaking and Listening Standards,Grade 2 Language Standards,Grade 3 Reading Standards for Literature,Grade 3 Reading Standards for Informational Text,Grade 3 Reading Standards: Foundational Skills,Grade 3 Writing Standards,Grade 3 Speaking and Listening Standards,Grade 3 Language Standards,Grade 4 Reading Standards for Literature,Grade 4 Reading Standards for Informational Text,Grade 4 Reading Standards: Foundational Skills,Grade 4 Writing Standards,Grade 4 Speaking and Listening Standards,Grade 4 Language Standards,Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Reading Standards: Foundational Skills,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 6 Writing Standards,Grade 6 Speaking and Listening Standards,Grade 6 Language Standards,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 7 Writing Standards,Grade 7 Speaking and Listening Standards,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards"	" ELA:Grade 4 Reading Standards for Literature - Craft and Structure (4),Grade 4 Reading Standards for Informational Texts - Craft and Structure (4),Grade 4 Writing Standards - Production and Distribution of Writing (4),Grade 4 Writing - Production and Distribution of Writing (5),Grade 4 Writing Standards - Research to Build and Present Knowledge (9),Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (6)"		"ELA: Grade 5 Writing Standards - Production and Distribution of Writing (4),Grade 5 Writing Standards - Production and Distribution of Writing (5),Grade 5 Writing Standards - Research to Build and Present Knowledge (9)"			4	math	1	1
statement		no	noun	something that you say or write in a formal or official way: something that is stated	MW online	statement	statement	noun	7	4 & 5	2	abstract	52	82	0		notcognate		1	"4.OA ,6.NS ,8A.CVA END"	"Grade 2 Writing Standards,Grade 3 Writing Standards,Grade 4 Writing Standards,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 6 Writing Standards,Grade 7 Writing Standards,Grade 7 Speaking and Listening Standards,Grade 8 Writing Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	"Math:4.OA Use the four operations with whole numbers to solve problems (1); ELA:Grade 4 Writing Standards - Text Types and Purposes (1),Grade 4 Writing Standards - Text Types and Purposes (2)"		"ELA: Grade 5 Writing Standards - Text Types and Purposes (1),Grade 5 Writing Standards - Text Types and Purposes (2),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (4)"			4 & 5	math & science	2	3
statistics		no	noun	"a number that represents a piece of information (such as information about how often something is done, how common something is, etc.)"	MW online	statistics	statist	noun	1	5	2	abstract	13	18.7282	1	statistic	cognate	estadística	1	"6.S ,7.S ,8.S ,HS.S-ID ,HS.S-IC ,8A.S "	NOT PRESENT						5	math	1	2
steer	a neutered male bull	no	noun	a male cow that has had its sex organ removed and is raised for meat	MW online	steer	steer	noun & verb	2 & 3	4 & 5	2	abstract	8	19.0163	0		notcognate		0								4 & 5	math	1	2
straight	adjective--unbending 180 degree angle	yes	adjective	describing an angle that measures 180 degrees	5th math psf	straight	straight	noun & adjective & adverb	3 & 15 & 3	4 & 5	2	concrete	121	122.4923	0		notcognate		1	"7.R ,8.S ,8A.F ,8A.S "	NOT PRESENT						4 & 5	math	1	2
straightedge		no	noun	"a piece of wood, metal, plastic, etc., with a straight edge that you use to make sure something (such as a line or a surface) is straight, or to make straight lines or cuts"	MW online	straightedge	straightedg	noun	1	4 & 5	3	concrete	0.0757	0.0814	0		notcognate		1	HS.G-CO 	NOT PRESENT						4 & 5	math	1	3
strategies		no	noun	a careful plan or method for achieving a particular goal usually over a long period of time (plural)	MW online	strategy	strategi	noun	2	4 & 5	4	abstract	7	19.7003	1	strategy	cognate	estrategias	1	"1.OA ,1.NBT ,2.NBT ,3.OA ,3.NBT ,4.OA ,4.NBT ,4.NF ,5.NBT ,5.NF ,6.NS ,7.NS ,7.EE ,HS.F-BF ,HS.S-MD "	"Grade 1 Language Standards,Grade 2 Language Standards,Grade 3 Language Standards,Grade 4 Language Standards,Grade 5 Language Standards,Grade 6 Writing Standards,Grade 6 Language Standards,Grade 7 Writing Standards,Grade 7 Language Standards,Grade 8 Language Standards,Grades 9-10 Language Standards,Grades 11-12 Speaking and Listening Standards"	"Math: 4.OA Use the four operations with whole numbers to solve problems (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6),4.NF footnotes; ELA:Grade 4 Language Standards - Knowledge of Language (4)"		"ELA: Grade 5 Language Standards - Vocabulary Acquisition and Use (4),; Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7)"			4 & 5	math	1	4
strategy		no	noun	a careful plan or method for achieving a particular goal usually over a long period of time	MW online	strategy	strategi	noun	2	4 & 5	4	abstract	9	19.7003	2		cognate	estrategia	1	"1.NBT ,2.NBT ,5.NBT ,5.NF ,HS.F-BF "	NOT PRESENT			Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7)			4 & 5	math	1	4
structure	a building	no	noun	"something (such as a house, tower, or bridge, etc.) that is built by putting parts together and that usually stands on its own"	MW online	structure	structur	noun & verb	5 & 1	4	1	concrete	87	134.8274	2		cognate	estructura	1	"HS.A-SSE ,8A.A "	"Kindergarten Reading Standards for Literature,Kindergarten Reading Standards for Informational Text,Grade 1 Reading Standards for Literature,Grade 1 Reading Standards for Informational Text,Grade 2 Reading Standards for Literature,Grade 2 Reading Standards for Informational Text,Grade 3 Reading Standards for Literature,Grade 3 Reading Standards for Informational Text,Grade 3 Writing Standards,Grade 4 Reading Standards for Literature,Grade 4 Reading Standards for Informational Text,Grade 4 Writing Standards,Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Writing Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 6 Language Standards,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Language Standards,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	" ELA:Grade 4 Reading Standards for Informational Texts - Craft and Structure (5),Grade 4 Writing Standards - Text Types and Purposes (1)"		"ELA: Grade 5 Reading Standards for Literature - Craft and Structure (5),Grade 5 Reading Standards for Informational Texts - Craft and Structure (5),Grade 5 Writing Standards - Text Types and Purposes (1)"			4 & 5	math & science	2	5
structures	buildings	no	noun	"something (such as a house, tower, or bridge, etc.) that is built by putting parts together and that usually stands on its own (plural)"	MW online	structure	structur	noun & verb	5 & 1	4	1	concrete	36	134.8274	1	structure	cognate	estructuras	1	NOT PRESENT	"Grade 1 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4 & 5	math & science	2	4
substitute	verb--replace	no	verb	to put or use (someone or something) in place of someone or something else	MW online	substitute	substitut	noun & verb & adjective	3 & 3 & 3	4 & 5	3	abstract	12	23.3711	2		cognate	sustituir	1	NOT PRESENT	"Kindergarten Reading Standards: Foundational Skills,"						4 & 5	math	1	3
substituting	gerund--replacing	no	verb	to put or use (someone or something) in place of someone or something else	MW online	substituting	substitut	noun	1	5	1	abstract	0.7622	23.3711	1	substitute	cognate	sustituyendo	1	NOT PRESENT	NOT PRESENT						5	math	1	1
sum	noun--answer to an addition problem	yes	noun	the number that is the result of adding two or more addends	5th math psf	sum	sum	noun & verb	7 & 2	4 & 5	3	abstract	15	22.5067	2		cognate	suma	1	"1.OA ,2.OA ,3.MD ,4.NF ,4.MD ,5.OA ,5.NF ,5.G ,6.NS ,6.EE ,7.NS ,8.G ,HS.N-VM ,HS.A-SSE ,HS.A-REI ,HS.F-BF ,HS.G-CO ,HS.G-GE ,8A.NQ ,8A.A ,8A.G "	NOT PRESENT	"Math:4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"		"Math: 5.OA - Write and interpret numerical expressions (2),5.NF - Use equivalent fractions as a strategy to add and subtract fractions (1),5.G - Classify two-dimensional figures into categories based on their properties (5)"			4 & 5	math	1	3
sums	answers to addition problems	yes	noun	the number that is the result of adding two or more addends  (plural)	5th math psf	sum	sum	noun & verb	7 & 2	4	1	abstract	5	22.5067	1	sum	cognate	sumas	1	"1.OA ,2.OA ,2.MD ,6.NS ,7.NS "	NOT PRESENT						4	math	1	1
surface	adjective--surface area	yes	adjective	"of, on, or pertaining to the surface; external"	Dictionary.com	surface	surfac	noun & verb & adjective	6 & 3 & 2	5	2	concrete	197	219.4007	0		cognate	superficie	1	"6.EE ,6.G ,7.G "	NOT PRESENT						4 & 5	math & science	2	4
surface	noun	no	noun	"the outer face, outside, or exterior boundary of a thing;outermost or uppermost layer or area"	Dictionary.com	surface	surfac	noun & verb & adjective	6 & 3 & 2	4 & 5	3	concrete	197	219.4007	0		cognate	superficie	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	5
surround	to enclose	no	verb	to enclose on all sides : envelop	MW online	surround	surround	noun & verb	1 & 5	4	1	concrete	6	90	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
surrounded		no	verb	to enclose on all sides : envelop	MW online	surround	surround	adjective	1	5	1	n/a	37	90	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
survey	a poll with a questionnaire	yes	noun	one method of collecting information	4th math hm	survey	survei	noun & verb	3 & 6	4 & 5	4	abstract	16	27	2		notcognate		0	"7.S ,HS.S-IC "	NOT PRESENT						4 & 5	math	1	4
surveyed	took or gave a survey	yes	verb	collected information by asking a number of people the same question and recording their answers	4th math psf	survey	survei	noun & verb	3 & 6	4 & 5	2	abstract	4	27	1	survey	notcognate		0	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
surveys	noun plural	yes	noun	one method of collecting information (plural)	4th math hm	survey	survei	noun & verb	3 & 6	4	1	abstract	4	27	1	survey	notcognate		0	HS.S-IC 	NOT PRESENT						4	math	1	1
suspension	adjective--suspension bridge	no	noun	the act of hanging : the state of being hung	MW online	suspension	suspens	noun	7	4 & 5	2	concrete	6	9.615	1	suspend	cognate	suspensión	0	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
symbol		no	noun	"an object, action, event, etc., that expresses or represents a particular idea or quality"	MW Online	symbol	symbol	noun	2	4 & 5	3	abstract	31	71.4837	2		cognate	símbolo	1	"1.OA ,2.OA ,2.MD ,3.OA ,4.OA ,4.MD "	NOT PRESENT	"Math: 4.OA Use the four operations with whole numbers to solve problems (2), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"					4 & 5	math	1	3
symbolic		no	adjective	"of, relating to, or constituting a symbol"	MW Online	symbolic	symbol	adjective	3	4	2	n/a	5	71.4837	1	symbol	cognate	simbólico	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
symbolize		no	verb	to be the symbol of something	MW Online	symbolize	symbol	verb	2	5	1	n/a	1	71.4837	1	symbol	cognate	simboliza	1	NOT PRESENT	NOT PRESENT						5	math	1	1
symbols		no	noun	"an object, action, event, etc., that expresses or represents a particular idea or quality (plural)"	MW online	symbol	symbol	noun	2	4 & 5	3	abstract	31	71.4837	1	symbol	cognate	símbolos	1	"1.NBT ,2.NBT ,2.MD ,3.NF ,4.NBT ,4.NF ,5.OA ,5.NBT ,7.EE ,8.EE ,HS.N-VM "	"Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (2),4.NF Extend understanding of fraction equivalence and ordering (2),4.NF Understand decimal notation for fractions, and compare decimal fractions (7)"		"Math: 5.OA - Write and interpret numerical expressions (1),5.NBT - Understand the place value system (3)"			4 & 5	math & science	2	4
symmetric		yes	adjective	describing a figure that can be folded into two congruent halves that fit on top of each other	4th math psf	symmetric	symmetr	adjective	1	4 & 5	2	n/a	0.1333	3.4911	0		cognate	simétrico	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
symmetry	noun a property that says things can have to inversely identical parts	yes	noun	"the quality of something that has two sides or halves that are the same or very close in size, shape, and : the quality of having symmetrical parts"	MW online	symmetry	symmetri	noun	3	4 & 5	3	abstract	2	3.4911	0		cognate	simetría	1	"4.G ,HS.F-IF ,HS.F-TF ,8A.F "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (3), "					4 & 5	math	1	3
system		no	noun	a group of related parts that move or work together	MW online	system	system	noun	9	4	1	abstract	373	462.4923	0		cognate	sistema	1	"4.MD ,5.NBT ,5.MD ,5.G ,6.NS ,7.NS ,8.NS ,8.EE ,8.G ,HS.N-CN ,HS.A-AR ,HS.A-REI ,8A.NQ ,8A.A ,8A.G ,8A.CVA END"	NOT PRESENT	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1)		"Math: 5.MD - Convert like measurement units within a given measurement system (1),5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)"			4 & 5	math & science	2	2
systematically		no	adverb	in a systematic manner; methodically	Webster's Online Dictionary	systematically	systemat	adverb	1	4	1	n/a	3	11.5317	0		cognate	sistemáticamente	1	NOT PRESENT	NOT PRESENT						4	math	1	1
table	a chart	no	noun	a collection of information that is arranged in rows and columns	MW online	table	tabl	noun & verb	6 & 1	4	2	abstract	239	266.0554	0		cognate	tabla	1	"1.NBT ,3.OA ,3.MD ,4.MD ,7.R ,8.S ,HS.F-IF ,HS.F-LE ,HS.S-C ,8A.F ,8A.S "	"Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects"	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1)					4	math & science	2	3
tables	charts--noun plural	no	noun	a collection of information that is arranged in rows and columns  (plural)	MW online	table	tabl	noun & verb	6 & 1	4	2	abstract	27	266.0554	0		cognate	tablas	1	"6.R ,6.EE ,7.R ,7.S ,HS.A-REI ,HS.F-IF ,HS.F-LE ,HS.S-ID ,HS.S-C ,8A.F "	"Grade 1 Reading Standards for Informational Text,Grade 6 Writing Standards,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 11-12 Writing Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4	math & science	2	3
tablespoon		yes	noun	a customary unit of capacity (1 tablespoon = 3 teaspoons)	4th math psf	tablespoon	tablespoon	noun	2	4 & 5	2	abstract	0.2684	0.714	0		notcognate		0								4 & 5	math	1	2
tablespoons		yes	noun	a customary unit of capacity (1 tablespoon = 3 teaspoons)  (plural)	4th math psf	tablespoon	tablespoon	noun	2	4 & 5	2	abstract	0.3072	0.714	0		notcognate		0								4 & 5	math	1	2
tallies	noun plural	no	noun	"a recorded count of scores, votes, etc. (plural)"	MW online	tally	talli	noun & verb	3 & 4	4	1	abstract	0	n/a	0		notcognate		0								4	math	1	1
