MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
tornado	963	451					4th math psf	math	4																									259		x			5th science delta	science	5	502		x			5th science mmh	science	5																
tornadoes	964	525	"variant of ""tornados"""				4th math hm	math	4																									207					5th science delta	science	5	268					5th science mmh	science	5																
tornados	965	451	"variant of ""tornadoes"""				4th math psf	math	4																									502					5th science mmh	science	5																								
tortoise	966	292					4th math hm	math	4	59					4th math psf	math	4																	87					4th science mmh	science	4																								
tournament	967	62					4th math psf	math	4	81					5th math psf	math	5																																																
trading	968	32	noun				5th math hm	math	5																																																								
trading	969	113	adjective--like in trading cards or trading post				4th math hm	math	4																																																								
translate	970	112					5th math psf	math	5																																																								
translated	971	112					5th math psf	math	5																																																								
translating	972	324					4th math psf	math	4	ksh14					5th math hm	math	5																																																
translation	973	474		x			4th math psf	math	4																																																								
translations	974	438					4th math psf	math	4																																																								
trapezoid	975	476		x			5th math psf	math	5	564		x			4th math hm	math	4	474		x			4th math psf	math	4	414		x			5th math hm	math	5																																
trapezoids	976	186					5th math psf	math	5																																																								
trend	977	474	a pattern in the data	x			4th math psf	math	4	476	a pattern in the data	x			5th math psf	math	5																																																
triangle	978	476		x			5th math psf	math	5	664					4th math hm	math	4	474		x			4th math psf	math	4	406		x			5th math hm	math	5																																
triangular	979	664					4th math hm	math	4	474		x			4th math psf	math	4	426					5th math hm	math	5	319					5th math psf	math	5																																
triathalon	980	305	"variant of ""triathlon"""				5th math hm	math	5																																																								
triathlon	981	137	"variant of ""triathalon"""				4th math psf	math	4																																																								
triathlons	982	137	"variant of ""triathalons"""				4th math psf	math	4																																																								
unamplified	983	323					5th math psf	math	5																																																								
underestimate	984	474	noun--a lowballed estimate	x			4th math psf	math	4	476	noun--a lowballed estimate	x			5th math psf	math	5																																																
unequal	985	259		x			4th math hm	math	4																																																								
unit	986	84	as in units of measure				5th math hm	math	5	325	as in units of measure				4th math hm	math	4	350	as in units of measure				4th math psf	math	4									486					5th science mmh	science	5																								
units	987	321	as in units of measure				4th math hm	math	4	350	as in units of measure				4th math psf	math	4																	304					4th science mmh	science	4																								
unlabeled	988	414					5th math hm	math	5																																																								
unlike	989	664	adjective--not the same				4th math hm	math	4	ksh13	adjective--not the same	x			5th math hm	math	5	476	adjective--not the same				5th math psf	math	5																																								
unlikely	990	532	improbable	x			4th math hm	math	4	477	improbable	x			4th math psf	math	4																																																
unreasonable	991	240					5th math hm	math	5																																																								
urban	992	525					5th math hm	math	5	22					5th math psf	math	5																																																
value	993	5	numerical quantity				4th math hm	math	4	123	numerical quantity				4th math psf	math	4	476	numerical quantity	x			5th math psf	math	5	ksh15	numerical quantity				5th math hm	math	5																																
values	994	93	numerical quantities				4th math hm	math	4	125	numerical quantities				4th math psf	math	4																																																
variable	995	476	noun--math term	x			5th math psf	math	5	163	noun--math term	x			4th math hm	math	4	474	noun--math term	x			4th math psf	math	4	ksh14	noun--math term	x			5th math hm	math	5	8--9		x			4th science mmh	science	4	141		x			5th science delta	science	5	503		x			5th science mmh	science	5								
variables	996	163	noun plural--math term				4th math hm	math	4	116	noun plural--math term				4th math psf	math	4	110	noun plural--math term				5th math psf	math	5									9					4th science mmh	science	4	169					5th science delta	science	5	3		x			5th science mmh	science	5								
variety	997	38					4th math hm	math	4	156					5th math hm	math	5																	32					4th science mmh	science	4																								
verify	998	63	to check				4th math hm	math	4	94					4th math psf	math	4	ksh5					5th math hm	math	5	38					5th math psf	math	5																																
vertex	999	560		x			4th math hm	math	4	474		x			4th math psf	math	4	389		x			5th math hm	math	5	477		x			5th math psf	math	5																																
vertical	1000	358	adjective				4th math hm	math	4	ksh16	adjective				5th math hm	math	5	477	adjective				5th math psf	math	5									260					5th science delta	science	5	501					5th science mmh	science	5																
vertically	1001	288					4th math hm	math	4	76					5th math hm	math	5																																																
vertices	1002	592		x			4th math hm	math	4	474		x			4th math psf	math	4	477		x			5th math psf	math	5																																								
visualize	1003	71					4th math hm	math	4	xiv					4th math psf	math	4	51					5th math hm	math	5	xiv					5th math psf	math	5																																
volume	1004	619	the number of cubic units needed to make up a solid figure	x			4th math hm	math	4	474	the number of cubic units needed to make up a solid figure	x			4th math psf	math	4	482	the number of cubic units needed to make up a solid figure	x			5th math hm	math	5	477	the number of cubic units needed to make up a solid figure	x			5th math psf	math	5	118					4th science delta	science	4	5					4th science mmh	science	4	81		x			5th science delta	science	5	236		x			5th science mmh	science	5
warehouse	1005	224					4th math hm	math	4																																																								
web	1006	116	noun--net or mesh				5th math hm	math	5	66	noun- net or mesh				4th math hm	math	4																	52	food web	x			4th science mmh	science	4																								
webmaster	1007	15		x			4th math hm	math	4																																																								
website	1008	329					5th math hm	math	5																																																								
week	1009	88	7 days	x			5th math psf	math	5	474	7 days	x			4th math psf	math	4																																																
weeks	1010	285	7 days	x			4th math psf	math	4																																																								
weight	1011	665					4th math hm	math	4	474		x			4th math psf	math	4	616					5th math hm	math	5	477		x			5th math psf	math	5	5					4th science mmh	science	4	504		x			5th science mmh	science	5																
wildlife	1012	218	noun				4th math hm	math	4	157	adjective				5th math hm	math	5																																																
wool	1013	422					4th math hm	math	4																									20					4th science delta	science	4	285					4th science mmh	science	4																
woolen	1014	402					5th math hm	math	5																																																								
wooly	1015	292					4th math hm	math	4																																																								
yard	1016	323	measure of 36 inches	x			4th math hm	math	4	350	measure of 36 inches	x			4th math psf	math	4	155	measure of 36 inches				5th math psf	math	5																																								
yards	1017	237	measure of 36 inches				4th math psf	math	4	456	measure of 36 inches				4th math hm	math	4	267	measure of 36 inches				5th math psf	math	5																																								
yardstick	1018	349					4th math psf	math	4																																																								
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
